word,textOption_1,textOption_2,option_1,option_2,sound
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_1
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_2
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_3
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_4
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_5
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_6
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_7
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_8
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_9
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur_10
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_1
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_2
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_3
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_4
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_5
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_6
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_7
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_8
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_9
haatata,hatata,hātata,haatata,hatata,haatata_R002M-01_dur_10
